Region,InitPop
SISLI,13
CIGLI,4
SILE,13
SIRAN,0
SIRVAN,0
SABANOZU,0
SAHINBEY,51
SALPAZARI,0
SAPHANE,0
SARKIKARAAGAC,0
SARKOY,1
SAVSAT,5
IBRADI,0
IDIL,2
SEBINKARAHISAR,0
SEFAATLI,0
SEHITKAMIL,51
SEHZADELER,5
CICEKDAGI,0
SEMDINLI,0
SENKAYA,0
SENPAZAR,0
SEREFLIKOCHISAR,4
CIFTELER,0
CIFTLIK,0
CIFTLIKKOY,0
IHSANIYE,5
IHSANGAZI,0
SIRNAK,2
IKIZCE,0
IKIZDERE,0
ILIC,0
CILIMLI,0
ILKADIM,0
IMAMOGLU,17
IMRANLI,0
INCIRLIOVA,0
INCESU,5
CINE,0
INEBOLU,0
INEGOL,10
INHISAR,0
INONU,0
IPEKYOLU,0
IPSALA,0
ISCEHISAR,5
ISKILIP,0
ISKENDERUN,28
ISLAHIYE,51
ISPIR,0
SUHUT,5
CIVRIL,5
IVRINDI,0
IYIDERE,0
IZMIT,4
IZNIK,10
19 MAYIS,0
AGACOREN,0
AGIN,1
ASKALE,0
AGLASUN,5
CAGLAYANCERIT,8
AGLI,0
AGRI,0
ABANA,0
ACIGOL,1
ACIPAYAM,5
ADILCEVAZ,0
ADAKLI,0
ADALAR,13
ADAPAZARI,5
ADIYAMAN,2
AFSIN,8
AFYONKARAHISAR,5
AHIRLI,3
AHLAT,0
AHMETLI,5
AKSEHIR,3
AKCAABAT,0
AKCADAG,2
AKCAKALE,33
AKCAKENT,0
AKCAKOCA,0
AKDAGMADENI,0
AKDENIZ,20
AKHISAR,5
AKINCILAR,0
AKKISLA,5
AKKUS,0
AKPINAR,0
AKOREN,3
AKSEKI,0
AKSU,0
AKYAKA,0
AKYAZI,5
AKYURT,4
CAL,5
ALIAGA,4
ALASEHIR,5
ALACAM,0
ALACA,0
ALACAKAYA,1
ALADAG,17
ALANYA,0
ALAPLI,0
CALDIRAN,0
ALMUS,0
ALPU,0
ALTIEYLUL,0
ALTINDAG,4
ALTINEKIN,3
ALTINORDU,0
ALTINOVA,0
ALTINTAS,0
ALTINYAYLA,5
ALTINOZU,28
ALTUNHISAR,0
ALUCRA,0
CAMAS,0
CAMARDI,0
AMASRA,0
AMASYA,0
CAMELI,5
CAMLIDERE,4
CAMLIHEMSIN,0
CAMLIYAYLA,20
CAMOLUK,0
CAN,0
CANAKCI,0
